,n,p,d,seed,method,Coverage
0,250,10,1,0,Sandwich,1.0
1,250,10,1,0,Variational Fisher,1.0
2,250,10,1,1,Sandwich,1.0
3,250,10,1,1,Variational Fisher,1.0
4,250,10,1,2,Sandwich,1.0
5,250,10,1,2,Variational Fisher,1.0
6,250,10,1,3,Sandwich,1.0
7,250,10,1,3,Variational Fisher,1.0
8,250,10,1,4,Sandwich,1.0
9,250,10,1,4,Variational Fisher,1.0
10,250,10,1,5,Sandwich,1.0
11,250,10,1,5,Variational Fisher,1.0
12,250,10,1,6,Sandwich,1.0
13,250,10,1,6,Variational Fisher,1.0
14,250,10,1,7,Sandwich,1.0
15,250,10,1,7,Variational Fisher,1.0
16,250,10,1,8,Sandwich,1.0
17,250,10,1,8,Variational Fisher,1.0
18,250,10,1,9,Sandwich,0.8
19,250,10,1,9,Variational Fisher,1.0
20,250,10,2,0,Sandwich,0.85
21,250,10,2,0,Variational Fisher,1.0
22,250,10,2,1,Sandwich,0.85
23,250,10,2,1,Variational Fisher,1.0
24,250,10,2,2,Sandwich,0.9
25,250,10,2,2,Variational Fisher,1.0
26,250,10,2,3,Sandwich,0.9
27,250,10,2,3,Variational Fisher,1.0
28,250,10,2,4,Sandwich,0.95
29,250,10,2,4,Variational Fisher,1.0
30,250,10,2,5,Sandwich,1.0
31,250,10,2,5,Variational Fisher,1.0
32,250,10,2,6,Sandwich,0.95
33,250,10,2,6,Variational Fisher,1.0
34,250,10,2,7,Sandwich,0.75
35,250,10,2,7,Variational Fisher,1.0
36,250,10,2,8,Sandwich,0.85
37,250,10,2,8,Variational Fisher,1.0
38,250,10,2,9,Sandwich,0.9
39,250,10,2,9,Variational Fisher,1.0
40,250,10,3,0,Sandwich,0.8666666666666667
41,250,10,3,0,Variational Fisher,1.0
42,250,10,3,1,Sandwich,0.8333333333333334
43,250,10,3,1,Variational Fisher,1.0
44,250,10,3,2,Sandwich,0.9333333333333333
45,250,10,3,2,Variational Fisher,1.0
46,250,10,3,3,Sandwich,0.7333333333333333
47,250,10,3,3,Variational Fisher,1.0
