,n,p,d,seed,method,Coverage
0,250,10,1,0,Sandwich,1.0
1,250,10,1,0,Variational Fisher,0.3
2,250,10,1,1,Sandwich,0.9
3,250,10,1,1,Variational Fisher,0.5
4,250,10,1,2,Sandwich,1.0
5,250,10,1,2,Variational Fisher,0.3
6,250,10,1,3,Sandwich,1.0
7,250,10,1,3,Variational Fisher,0.1
8,250,10,1,4,Sandwich,1.0
9,250,10,1,4,Variational Fisher,0.2
10,250,10,1,5,Sandwich,0.9
11,250,10,1,5,Variational Fisher,0.4
12,250,10,1,6,Sandwich,0.9
13,250,10,1,6,Variational Fisher,0.3
14,250,10,1,7,Sandwich,1.0
15,250,10,1,7,Variational Fisher,0.4
16,250,10,1,8,Sandwich,0.8
17,250,10,1,8,Variational Fisher,0.1
18,250,10,1,9,Sandwich,0.9
19,250,10,1,9,Variational Fisher,0.2
20,250,10,1,10,Sandwich,1.0
21,250,10,1,10,Variational Fisher,0.5
22,250,10,1,11,Sandwich,1.0
23,250,10,1,11,Variational Fisher,0.1
24,250,10,1,12,Sandwich,0.9
25,250,10,1,12,Variational Fisher,0.1
26,250,10,1,13,Sandwich,0.8
27,250,10,1,13,Variational Fisher,0.3
28,250,10,1,14,Sandwich,1.0
29,250,10,1,14,Variational Fisher,0.2
30,250,10,1,15,Sandwich,0.8
31,250,10,1,15,Variational Fisher,0.1
32,250,10,1,16,Sandwich,0.8
33,250,10,1,16,Variational Fisher,0.0
34,250,10,1,17,Sandwich,0.9
35,250,10,1,17,Variational Fisher,0.2
36,250,10,1,18,Sandwich,0.9
37,250,10,1,18,Variational Fisher,0.0
38,250,10,1,19,Sandwich,0.9
39,250,10,1,19,Variational Fisher,0.2
40,250,10,2,0,Sandwich,1.0
41,250,10,2,0,Variational Fisher,0.15
42,250,10,2,1,Sandwich,0.95
43,250,10,2,1,Variational Fisher,0.3
44,250,10,2,2,Sandwich,1.0
45,250,10,2,2,Variational Fisher,0.25
46,250,10,2,3,Sandwich,0.95
47,250,10,2,3,Variational Fisher,0.15
48,250,10,2,4,Sandwich,0.85
49,250,10,2,4,Variational Fisher,0.25
50,250,10,2,5,Sandwich,0.9
51,250,10,2,5,Variational Fisher,0.2
52,250,10,2,6,Sandwich,0.95
53,250,10,2,6,Variational Fisher,0.35
54,250,10,2,7,Sandwich,0.95
55,250,10,2,7,Variational Fisher,0.3
56,250,10,2,8,Sandwich,0.85
57,250,10,2,8,Variational Fisher,0.15
58,250,10,2,9,Sandwich,1.0
59,250,10,2,9,Variational Fisher,0.15
60,250,10,2,10,Sandwich,0.9
61,250,10,2,10,Variational Fisher,0.2
62,250,10,2,11,Sandwich,0.85
63,250,10,2,11,Variational Fisher,0.25
64,250,10,2,12,Sandwich,0.9
65,250,10,2,12,Variational Fisher,0.3
66,250,10,2,13,Sandwich,0.9
