,model_name,moyenne,ELBO,Reconstruction_error,RMSE_SIGMA,RMSE_B,RMSE_PI,RMSE_B0,TIME,NBITER
0,Enhanced Analytic,0.0,17222723.640847042,0.43054051493153656,0.9521520885330893,0.4896141891111551,0.18052778022393723,30.67129014732744,36.77360534667969,1294
0,Enhanced Analytic,0.0,17213724.109032467,0.42942098552660113,0.9523054848482527,0.4723389558710297,0.1724026621092189,21.83675360225152,47.7608585357666,1136
0,Enhanced Analytic,0.0,17205393.809074257,0.4346775777115731,0.9523414791615857,0.5016489386296795,0.18139240410423926,34.310056503638776,49.88714838027954,1328
0,Enhanced Analytic,0.0,17150821.39342576,0.4345291429582004,1.2202353545401865,0.509683165252622,0.18718925567461767,15.5912782224182,40.11543846130371,1008
0,Enhanced Analytic,0.0,17103914.661178473,0.4326965200188846,0.9523913319642487,0.5419418957554155,0.1872341522029069,3.1306062077207013,47.512885332107544,1237
0,Enhanced Analytic,0.0,17549169.883340046,0.4325165485004388,0.952277417307239,0.46897204100862905,0.18365855579615595,15.579187431666373,47.91534447669983,1243
0,Enhanced Analytic,0.0,17472869.92461903,0.4316711863639678,0.9524176025477953,0.46893682983485474,0.1768358023067697,21.760183934509655,49.135520696640015,1327
0,Enhanced Analytic,0.0,16947399.439744763,0.42842617824455304,0.952096035687002,0.506482008924359,0.1814489367580847,43.27912518394741,53.160277128219604,1313
0,Enhanced Analytic,0.0,17453858.633867256,0.43637192457362456,0.9522101523140771,0.48271579767599904,0.18559972045327722,40.52194208820355,41.93322944641113,1176
0,Enhanced Analytic,0.0,17257306.824887667,0.4299148588175304,0.9522613826579672,0.501566712370335,0.17574317921597718,30.65795315214742,38.557310819625854,1147
0,Enhanced Analytic,0.0,17236402.83707056,0.43049335266829475,0.9524891877387718,0.5139278402039104,0.17867838153785312,15.629766716973872,52.785961866378784,1443
0,Enhanced Analytic,0.0,17345321.40602665,0.4296860626196818,0.95221987798939,0.5076010655531266,0.18961696707008222,21.91229706391467,52.93239998817444,1522
0,Enhanced Analytic,0.0,17464022.69325133,0.4330627208241814,0.9529898540197045,0.4789504872114159,0.18119240812193282,21.792073959636742,47.50129318237305,1131
0,Enhanced Analytic,0.0,17569162.876044884,0.4351381867153585,0.9522759843846185,0.4787735989367654,0.17494927941323815,15.541609643481447,42.523428440093994,1145
0,Enhanced Analytic,0.0,17175102.354323115,0.42463170563268415,0.9522761344983934,0.5334038265673207,0.1845940251760548,21.80172485937114,42.46186566352844,1158
0,Enhanced Analytic,0.5,21271398.908250615,0.4500706016850283,0.9523319378528998,0.47412165095092174,0.16072214132821752,2.196801260863688,33.52729392051697,956
0,Enhanced Analytic,0.5,21410154.203314554,0.4545656648788773,0.9526060886704825,0.46551500767993903,0.1547154611641377,21.701815913529863,50.578532695770264,1272
0,Enhanced Analytic,0.5,21324946.37967996,0.455774121610528,0.9524688975961376,0.45625932292817023,0.15232229802576563,15.3674194041227,53.7374222278595,1485
0,Enhanced Analytic,0.5,21347140.07952371,0.4585145750623348,1.0876770491746905,0.466482721405774,0.16336752327817447,15.495073486096967,41.987016439437866,1129
0,Enhanced Analytic,0.5,21192906.31752981,0.4521795857605022,0.9525334575301608,0.49234888034368707,0.16457543738821234,21.695819497295442,39.17642545700073,1008
0,Enhanced Analytic,0.5,21689009.943628777,0.45538513374297124,0.9525714838292261,0.42274497531377786,0.15535879344705533,15.384720355342587,43.237420082092285,1148
0,Enhanced Analytic,0.5,21600429.692036808,0.45683277345131973,0.9525766090746919,0.4280024933119845,0.15690338424123737,1.9350853883966708,34.74434161186218,915
0,Enhanced Analytic,0.5,21117862.877118446,0.456774173541935,0.9522843865339211,0.4602711592347187,0.1643800092167384,30.620539478755916,43.86749005317688,1226
0,Enhanced Analytic,0.5,21536609.993882492,0.4566862884240056,0.95239019723739,0.45241107714207784,0.16060357148013782,26.539134458221493,37.21869206428528,967
0,Enhanced Analytic,0.5,21373370.31569872,0.4515335135827058,0.9523329357445499,0.4407842396057456,0.15346823546954297,15.399546314654524,39.51673626899719,1051
0,Enhanced Analytic,0.5,21446151.78752716,0.45580303509731496,0.9525286467509003,0.4388918120787511,0.1512365665093819,15.432648686260189,36.11387324333191,980
0,Enhanced Analytic,0.5,21443377.856022984,0.4531006114502053,0.9524506574571037,0.476800339502423,0.16883326543430138,21.700469835230543,44.398035526275635,1178
0,Enhanced Analytic,0.5,21592450.940859303,0.4596155396627975,0.9539104860849185,0.4380888692687585,0.1601813568679984,2.3485611440552616,40.387473344802856,1049
0,Enhanced Analytic,0.5,21649582.96926905,0.45791076444767875,0.9524812199276452,0.43938004412571224,0.14999019146789333,21.71667609151251,39.35769438743591,1050
0,Enhanced Analytic,0.5,21307980.31299216,0.4497793003722425,0.9525192111287157,0.48388763607176244,0.15837655710303256,15.44232422245655,35.88548970222473,994
0,Enhanced Analytic,1.0,25817054.007833112,0.47354349006964785,0.952633674653905,0.39401646562615905,0.1327891388038967,15.432413513859764,34.113232135772705,858
0,Enhanced Analytic,1.0,25981630.773258615,0.48000888995759616,0.9526222754271519,0.37390926423425,0.1269500009970551,1.679447785671855,27.090927362442017,741
0,Enhanced Analytic,1.0,25923119.83880896,0.47885170421520995,0.9526814315654211,0.37765345897505964,0.12564444678774667,15.393227223491149,33.821053981781006,846
0,Enhanced Analytic,1.0,25928105.969603587,0.47885114907648313,0.952661727868364,0.4088370865253549,0.1398224359691582,15.513610215823828,23.70712947845459,767
0,Enhanced Analytic,1.0,25738178.140682872,0.47470716322387013,0.9526711792187292,0.4032491243565265,0.13681769037049052,15.415584944861017,19.314249753952026,623
0,Enhanced Analytic,1.0,26281883.783234015,0.47859522096524126,0.9526528663510677,0.36360221385837505,0.13368508023117673,26.496896987048856,27.256157159805298,594
0,Enhanced Analytic,1.0,26134511.834434435,0.4798067456100746,0.9528548064223727,0.3647459601656466,0.13079387705411707,15.376197147349727,33.132354497909546,925
0,Enhanced Analytic,1.0,25603779.122653387,0.47463646317585717,0.9524022405855389,0.4154984501831178,0.1376080918777994,15.35281918099705,33.6088228225708,871
0,Enhanced Analytic,1.0,26067927.919317186,0.4754477913180362,0.9524142645321729,0.38423688937124356,0.135177079395747,15.410099717359968,24.826350688934326,577
0,Enhanced Analytic,1.0,25962064.781112827,0.4758778862671361,0.9524593824649579,0.3855003835908584,0.12578986542030954,21.663921489574946,26.184679746627808,802
0,Enhanced Analytic,1.0,25902523.28834295,0.476483611042103,0.9527429586985898,0.4057991345425835,0.12683952008154167,1.4389520873469122,37.615079402923584,971
0,Enhanced Analytic,1.0,26006944.5951931,0.4719344277482406,0.9525633055433795,0.4004205931159166,0.1330340795603118,21.71781776602061,23.14189386367798,609
0,Enhanced Analytic,1.0,26155613.155538417,0.47711252837868684,0.9527508610052197,0.3633587617126288,0.12924377229154874,15.356949403129827,24.27756118774414,747
0,Enhanced Analytic,1.0,26175545.258108784,0.48073824068292337,0.9527059629655547,0.3627907947072502,0.12306418781298711,2.3950875620578977,24.60477352142334,659
0,Enhanced Analytic,1.0,25941332.43736974,0.47209339481027035,0.9526494964300966,0.39789929133389085,0.13492989211116657,15.392282851038768,37.02658772468567,1027
0,Enhanced Analytic,1.5,30467356.240586657,0.5042968843533989,0.9528393219811662,0.35469925018315634,0.12227055124892164,15.34957655953806,23.420654296875,570
0,Enhanced Analytic,1.5,30614345.67318147,0.5086888590242841,0.952957366361496,0.33428492835212453,0.11943812410848456,15.418310930527007,20.239426612854004,569
0,Enhanced Analytic,1.5,30484109.344747983,0.5119143605688506,0.9530819479096925,0.3376412937934487,0.11389407084250776,1.5140324780333583,17.81960105895996,593
0,Enhanced Analytic,1.5,30500942.08286819,0.5088873396575078,0.9532058899987584,0.3726124089862631,0.13110571417445122,15.4377322147951,22.168713808059692,559
0,Enhanced Analytic,1.5,30361271.59738048,0.5038091495494674,0.9530228853235373,0.3558683458352309,0.1234621244281677,1.4001066991998277,19.806302309036255,536
0,Enhanced Analytic,1.5,30878636.80934399,0.5105013579372466,0.9529795986794043,0.32310241443963517,0.12331231564105656,21.63903190557852,19.791587829589844,571
0,Enhanced Analytic,1.5,30791975.432807185,0.5130331948817057,0.953202742281583,0.3044376029325066,0.11927921649428971,1.6492147314770738,22.719416856765747,565
0,Enhanced Analytic,1.5,30254355.38207515,0.5107133907900351,0.9528744146771717,0.35545214939883396,0.12173254385382078,15.419670719301806,22.604833602905273,574
0,Enhanced Analytic,1.5,30736855.739982244,0.5088552561234406,0.9528309591176994,0.32387702756729536,0.11676376247380539,1.8405498409619343,19.79171657562256,549
0,Enhanced Analytic,1.5,30586123.28021788,0.5074431562559402,0.9528803984528449,0.34828126728864023,0.12010437177906641,15.364367523351968,18.68216824531555,552
0,Enhanced Analytic,1.5,30541499.92091572,0.5085261802013762,0.9531374881396224,0.3406836383467686,0.11842960032380385,1.3833567120755772,23.02024507522583,554
0,Enhanced Analytic,1.5,30590118.41095023,0.5056909106804888,0.9528554789602964,0.34707066161404654,0.12501274908941643,15.384245732588628,20.607236623764038,567
0,Enhanced Analytic,1.5,30748701.056141634,0.5086463945395892,0.9530676479604128,0.3051736864245316,0.12035046418777773,1.260743534989864,23.238404512405396,564
0,Enhanced Analytic,1.5,30777148.1323177,0.5122915559921523,0.9529960704414844,0.30758792774500093,0.11695787386286517,15.359679226336596,21.654847383499146,573
0,Enhanced Analytic,1.5,30538043.339349445,0.5014835832676213,0.9529865070690318,0.35678649034065324,0.12624417316732003,15.331872042703992,22.661288261413574,577
0,Enhanced Analytic,2.0,35049307.64629173,0.5336730169494146,0.9532093886332031,0.3210534355361436,0.11634931181219957,2.060460000220214,21.54371476173401,541
0,Enhanced Analytic,2.0,35180788.786686614,0.5398294637093417,0.9532477572391782,0.3083373409305844,0.11724301430047496,2.436998658883613,20.790023803710938,546
0,Enhanced Analytic,2.0,35061963.061984345,0.543922548834268,0.9535630334915598,0.304378249562789,0.11271961205046727,15.370237821361803,21.778637886047363,534
0,Enhanced Analytic,2.0,35031178.18008018,0.5369442383124314,0.9534237652637806,0.336929216138924,0.1299089761722137,21.734889944627575,20.420199632644653,541
0,Enhanced Analytic,2.0,34913032.38671031,0.5368764835907097,0.9534437125228777,0.32123940036885157,0.12176308430314216,2.144035375500715,22.994868516921997,535
