,model_name,moyenne,ELBO,Reconstruction_error,RMSE_SIGMA,RMSE_B,RMSE_PI,RMSE_B0,TIME,NBITER
0,Enhanced Analytic,0.1,42647557.490465,0.6851112927132362,0.9568448064189696,0.28492189952251656,0.1880393246629768,334.3615622857501,23.812373876571655,532
0,Enhanced Analytic,0.1,42742775.81066523,0.6877027968755588,0.9569735154478275,0.276023312814178,0.18065326336536455,320.9977490457878,26.35578727722168,532
0,Enhanced Analytic,0.1,42813852.4118382,0.7001234248639894,0.9573722072280936,0.25209579806892307,0.18431684411350382,335.84034843055355,17.529476165771484,554
0,Enhanced Analytic,0.1,42677550.15342563,0.6857960614666827,0.9568062766540048,0.2844814946560173,0.1826012385966447,317.9664959672256,22.585106134414673,532
0,Enhanced Analytic,0.1,42516070.41805858,0.6949351735915328,0.9573150373319225,0.2820302542873613,0.18186207426817108,253.26714819528175,21.019573211669922,531
0,Enhanced Analytic,0.1,43016053.63877661,0.6908016651367814,0.9569960514619732,0.2715440774862769,0.185679540048433,362.5803134408068,21.49593186378479,548
0,Enhanced Analytic,0.1,43121830.05649307,0.6982762676536389,0.9571858680200948,0.24001286230853494,0.17952318339803083,248.08004694650597,18.782015323638916,553
0,Enhanced Analytic,0.1,42281533.97606518,0.6879149261637196,0.9568763961347995,0.31211166395912887,0.18259510329012787,361.47576268276583,22.083308219909668,540
0,Enhanced Analytic,0.1,42958145.70344384,0.6905904109491467,0.9567851042757687,0.25776462643254827,0.17425259402988225,314.3248150953855,20.78359317779541,540
0,Enhanced Analytic,0.1,42733068.97960706,0.6908169628814408,0.9568567530709534,0.26199333639351097,0.17436326882576147,283.68152805335325,19.313886165618896,552
0,Enhanced Analytic,0.1,42795353.20305971,0.69120873207049,0.9570428533467672,0.2743073503467458,0.1790361966817199,239.527633728554,20.751058340072632,542
0,Enhanced Analytic,0.1,42925138.84819408,0.6952216699493342,0.9570992202579974,0.24747731334591336,0.17354991201987519,296.5107649235419,17.38723635673523,555
0,Enhanced Analytic,0.1,42972580.70796214,0.6959486927797721,0.9572683932233014,0.25518851086486516,0.1802817389876248,304.969114899988,17.60075306892395,554
0,Enhanced Analytic,0.1,43264201.95019497,0.6932287964894168,0.9568963946458421,0.23450358171398486,0.18426177274486025,342.90553154781156,17.766716480255127,546
0,Enhanced Analytic,0.1,42725880.60913871,0.6844094400486467,0.9568711685846979,0.2817241609000871,0.18080100397288523,293.5748413021494,17.358498573303223,549
0,Enhanced Analytic,0.21666666666666667,38036884.68165474,0.589949713964612,0.9544187503409064,0.3185135598497731,0.1406460623819753,26.33005633616339,17.204389333724976,555
0,Enhanced Analytic,0.21666666666666667,38255875.79057588,0.5941703764725791,0.9545024307121269,0.30662905103614274,0.1390696624199817,44.93866717376447,18.53362798690796,555
0,Enhanced Analytic,0.21666666666666667,38190611.87515057,0.603230607053863,0.9547763346586501,0.29497010447552635,0.13459610510358405,35.72368171310547,19.969270944595337,541
0,Enhanced Analytic,0.21666666666666667,38091881.04253054,0.5928480171044523,0.9545084714707701,0.3245253095438922,0.14708821029368527,35.8445526848445,17.4705970287323,554
0,Enhanced Analytic,0.21666666666666667,38032470.59007182,0.5923210609391731,0.9546038044022457,0.31388754931160184,0.14054901531927824,25.389884614227565,17.674911499023438,554
0,Enhanced Analytic,0.21666666666666667,38422533.58351653,0.5982275109804452,0.9546712926902959,0.30317813484165446,0.14519917368361737,37.111053910587295,20.621302127838135,551
0,Enhanced Analytic,0.21666666666666667,38495533.08376081,0.5997652118649432,0.9547775351272737,0.275681665618271,0.1382351371846278,35.777713795100674,23.262473106384277,548
0,Enhanced Analytic,0.21666666666666667,37799574.24370806,0.5952761725096091,0.9544791697507894,0.3316079564020188,0.1433052289037129,43.89381185552688,18.592487335205078,554
0,Enhanced Analytic,0.21666666666666667,38211931.161208995,0.5920961896661475,0.9542542687675415,0.3006674831915249,0.14035229619521755,43.46966546781135,20.32878541946411,543
