ASV	Kingdom	Phylum	Class	Order	Family	Genus	Species
ASV_315	Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobrevibacter	unknown species
ASV_547	Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobrevibacter	Multi-affiliation
ASV_749	Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobrevibacter	Multi-affiliation
ASV_425	Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobrevibacter	Multi-affiliation
ASV_368	Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobrevibacter	Multi-affiliation
ASV_325	Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobrevibacter	Multi-affiliation
ASV_716	Bacteria	Kiritimatiellaeota	Kiritimatiellae	WCHB1-41	unknown family	unknown genus	unknown species
ASV_1067	Bacteria	Kiritimatiellaeota	Kiritimatiellae	WCHB1-41	unknown family	unknown genus	unknown species
ASV_964	Bacteria	Kiritimatiellaeota	Kiritimatiellae	WCHB1-41	unknown family	unknown genus	unknown species
ASV_960	Bacteria	Kiritimatiellaeota	Kiritimatiellae	WCHB1-41	unknown family	unknown genus	unknown species
ASV_232	Bacteria	Verrucomicrobia	Verrucomicrobiae	Verrucomicrobiales	Verrucomicrobiaceae	Prosthecobacter	unknown species
ASV_649	Bacteria	Verrucomicrobia	Verrucomicrobiae	Verrucomicrobiales	Akkermansiaceae	Akkermansia	unknown species
ASV_703	Bacteria	Verrucomicrobia	Verrucomicrobiae	Verrucomicrobiales	Akkermansiaceae	Akkermansia	unknown species
ASV_883	Bacteria	Planctomycetes	Planctomycetacia	Pirellulales	Pirellulaceae	p-1088-a5 gut group	unknown species
ASV_1121	Bacteria	Planctomycetes	Planctomycetacia	Pirellulales	Pirellulaceae	Rhodopirellula	unknown species
ASV_414	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Lachnospiraceae NK4A136 group	unknown species
ASV_209	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Lachnospiraceae FCS020 group	unknown species
ASV_1093	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Lachnospiraceae AC2044 group	unknown species
ASV_192	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Multi-affiliation	Multi-affiliation
ASV_276	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	unknown genus	unknown species
ASV_580	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Multi-affiliation	Multi-affiliation
ASV_433	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Lachnoclostridium 5	Multi-affiliation
ASV_687	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Lachnospiraceae NK4A136 group	unknown species
ASV_979	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Lachnospiraceae NK4A136 group	unknown species
ASV_197	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	unknown genus	unknown species
ASV_836	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Lachnospiraceae NK4A136 group	unknown species
ASV_763	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Lachnospiraceae NK4A136 group	unknown species
ASV_609	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	unknown genus	unknown species
ASV_555	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	unknown genus	unknown species
ASV_673	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Lachnospiraceae NK4A136 group	unknown species
ASV_668	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Lachnospiraceae NK4A136 group	unknown species
ASV_791	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Multi-affiliation	Multi-affiliation
ASV_347	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	unknown genus	unknown species
ASV_698	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Multi-affiliation	Multi-affiliation
ASV_991	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Multi-affiliation	Multi-affiliation
ASV_843	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Anaerocolumna	Multi-affiliation
ASV_771	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Lachnoclostridium 10	unknown species
ASV_160	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Tyzzerella 4	unknown species
ASV_108	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Coprococcus 3	unknown species
ASV_710	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Coprococcus 3	unknown species
ASV_620	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	[Ruminococcus] torques group	unknown species
ASV_1209	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	FD2005	Multi-affiliation
ASV_1089	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	unknown genus	unknown species
ASV_1200	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Shuttleworthia	unknown species
ASV_997	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Lachnospiraceae UCG-001	unknown species
ASV_1078	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Shuttleworthia	unknown species
ASV_350	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Roseburia	unknown species
ASV_861	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Agathobacter	unknown species
ASV_766	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Agathobacter	unknown species
ASV_238	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Roseburia	unknown species
ASV_586	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Coprococcus 3	unknown species
ASV_304	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Marvinbryantia	unknown species
ASV_626	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Marvinbryantia	unknown species
ASV_807	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Marvinbryantia	unknown species
ASV_635	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Lachnospiraceae FCS020 group	unknown species
ASV_998	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Acetitomaculum	unknown species
ASV_598	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Acetitomaculum	unknown species
ASV_172	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Acetitomaculum	unknown species
ASV_291	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Acetitomaculum	unknown species
ASV_164	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Acetitomaculum	unknown species
ASV_62	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Acetitomaculum	unknown species
ASV_251	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Acetitomaculum	unknown species
ASV_456	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Acetitomaculum	unknown species
ASV_948	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Acetitomaculum	unknown species
ASV_913	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Butyrivibrio 2	Multi-affiliation
