tree,distTOground,orientation
intermediate,155.5,SW
intermediate,144.5,SW
intermediate,141.5,SW
intermediate,134.5,SW
intermediate,130.5,SW
intermediate,129.5,SW
intermediate,121.5,SW
intermediate,111.5,SW
intermediate,107.5,SW
intermediate,212,SW
intermediate,205,SW
intermediate,198,SW
intermediate,193,SW
intermediate,190,SW
intermediate,174,SW
intermediate,171,SW
intermediate,166,SW
intermediate,156,SW
intermediate,148,SW
intermediate,245,NE
intermediate,239,NE
intermediate,226,NE
intermediate,211,NE
intermediate,201,NE
intermediate,188,NE
intermediate,176,NE
intermediate,172,NE
intermediate,166,NE
intermediate,240,NE
intermediate,237,NE
intermediate,228,NE
intermediate,221,NE
intermediate,210,NE
intermediate,204,NE
intermediate,197,NE
intermediate,194,NE
intermediate,188,NE
intermediate,183,NE
susceptible,142,SW
susceptible,141,SW
susceptible,138,SW
susceptible,135,SW
susceptible,133,SW
susceptible,131,SW
susceptible,127,SW
susceptible,118,SW
susceptible,113,SW
susceptible,105,SW
susceptible,224,SW
susceptible,226,SW
susceptible,226,SW
susceptible,222,SW
susceptible,227,SW
susceptible,219,SW
susceptible,211,SW
susceptible,206,SW
susceptible,203,SW
susceptible,151,SW
susceptible,249,NE
susceptible,236,NE
susceptible,216,NE
susceptible,208,NE
susceptible,181,NE
susceptible,175,NE
susceptible,149,NE
susceptible,140,NE
susceptible,117,NE
susceptible,272,NE
susceptible,268,NE
susceptible,264,NE
susceptible,258,NE
susceptible,254,NE
susceptible,246,NE
susceptible,242,NE
susceptible,235,NE
susceptible,228,NE
susceptible,212,NE
resistant,116,SW
resistant,113,SW
resistant,108,SW
resistant,100,SW
resistant,97,SW
resistant,93,SW
resistant,83,SW
resistant,79,SW
resistant,63,SW
resistant,229,SW
resistant,225,SW
resistant,217,SW
resistant,203,SW
resistant,198,SW
resistant,187,SW
resistant,180,SW
resistant,171,SW
resistant,163,SW
resistant,158,SW
resistant,123,NE
resistant,122,NE
resistant,116,NE
resistant,109,NE
resistant,105,NE
resistant,101,NE
resistant,98,NE
resistant,94,NE
resistant,82,NE
resistant,79,NE
resistant,229,NE
resistant,223,NE
resistant,216,NE
resistant,206,NE
resistant,197,NE
resistant,187,NE
resistant,177,NE
resistant,169,NE
resistant,161,NE
resistant,125,NE
