"","chrom","wstart","wstop","nco_Lacaune_M","nco_Lacaune_F","nco_Soay_F","nco_Soay_M","coverage_Lacaune_M","coverage_Lacaune_F","coverage_Soay_F","coverage_Soay_M"
"1","1",0,1000000,97,0,9,52,5275.78193,390.444712,2521.094452,2525.833963
"2","1",1000000,2000000,279,2,15,156,8192.139356,469.800748,3418.375899,3316.846814
"3","1",2000000,3000000,205,6,21,112,8597.108782,475,4293.75889,3992.580657
"4","1",3000000,4000000,249,2,31,124,8735.920823,475,4374.206117,4040.267988
"5","1",4000000,5000000,446,11,69,180,8826.697784,477.947432,4422.811057,4095.751477
"6","1",5000000,6000000,298,7,61,163,8902.930184,479,4441.840114,4149.347
"7","1",6000000,7000000,255,9,61,133,8927.040519,479,4444.610932,4151.713552
"8","1",7000000,8000000,181,6,57,83,8939.096157,479.233294,4447.333651,4152.919504
"9","1",8000000,9000000,381,4,73,135,8951.02204,480.991444,4454.431115,4154.728679
"10","1",9000000,10000000,199,6,67,93,8974.748314,482,4467,4156
"11","1",10000000,11000000,115,5,59,71,8977.286509,482.976702,4467,4156
"12","1",11000000,12000000,191,11,80,78,8981.322558,483,4467,4156
"13","1",12000000,13000000,121,7,51,64,8983.47774,483,4467,4156
"14","1",13000000,14000000,143,4,70,71,8984.880415,483,4467,4156
"15","1",14000000,15000000,98,8,69,40,8985.277629,483,4467,4156
"16","1",15000000,16000000,183,8,77,108,8986,483,4467.838577,4156
"17","1",16000000,17000000,145,4,71,65,8986.852775,483,4470,4156
"18","1",17000000,18000000,199,9,59,58,8987,483,4470,4156
"19","1",18000000,19000000,90,5,44,38,8987,483,4470,4156
"20","1",19000000,20000000,39,4,37,15,8987.853843,483,4470,4156
"21","1",20000000,21000000,43,5,41,18,8988,483,4470,4156
"22","1",21000000,22000000,65,6,45,23,8988,483,4470.401503,4156
"23","1",22000000,23000000,82,3,40,29,8988,483,4471,4156
"24","1",23000000,24000000,78,4,22,25,8989.09421,483,4471,4156
"25","1",24000000,25000000,30,6,15,13,8990,483,4471,4156
"26","1",25000000,26000000,31,3,19,10,8990,483,4471,4156
"27","1",26000000,27000000,62,1,20,22,8990,483,4471,4156
"28","1",27000000,28000000,99,5,54,49,8990,483,4471,4156
"29","1",28000000,29000000,147,9,48,74,8990,483,4471,4156
"30","1",29000000,30000000,91,7,53,57,8990,483,4471,4156
"31","1",30000000,31000000,107,6,55,49,8990,483,4471,4156
"32","1",31000000,32000000,160,7,77,61,8990,483,4471,4156
"33","1",32000000,33000000,143,8,74,45,8990.531601,483,4471,4156
"34","1",33000000,34000000,96,10,56,35,8991,483,4471,4156
"35","1",34000000,35000000,106,3,72,60,8991,483,4471,4156
"36","1",35000000,36000000,127,4,58,74,8991,483,4471,4156
"37","1",36000000,37000000,176,7,80,77,8991,483,4471,4156
"38","1",37000000,38000000,98,9,68,45,8991,483,4471,4156
"39","1",38000000,39000000,157,13,86,62,8991,483,4471,4156
"40","1",39000000,40000000,84,3,80,46,8991,483,4471,4156
"41","1",40000000,41000000,73,7,64,61,8991,483,4471,4156
"42","1",41000000,42000000,147,12,73,59,8991,483,4471,4156
"43","1",42000000,43000000,132,12,73,67,8991,483,4471,4156
"44","1",43000000,44000000,131,5,42,50,8991,483,4471,4156
"45","1",44000000,45000000,80,2,31,29,8991,483,4471,4156
"46","1",45000000,46000000,74,4,34,46,8991,483,4471,4156
