MALAT1,TMSB4X,B2M,EEF1A1,ACTB,RPLP1,RPS27,MT-CO2,MTRNR2L1,RPS12,RPL10,MTRNR2L12,MT-CO1,RPL41,RPL13,RPS18,MTRNR2L8,TMSB10,RPL28,RPL13A,RPS19,RPL32,RPLP2,RPL21,RPL34,RPS27A,RPS29,RPL39,TPT1,RPS14,RPS6,RPS3,RPS4X,MT-CO3,HLA-B,GAPDH,RPS8,RPS15A,PFN1,RPL30,RPS3A,MT-ATP6,RPS2,RPL19,RPS23,RPL18A,RPL11,RPS28,HLA-A,MT-ND4L,RPL3,MT-ND3,PTMA,RPL37,RPL23A,CCL4,FTL,RPLP0,FTH1,RPS15,RPL12,RPS25,CCL5,RPL9,RPL27A,MT-ND4,JUNB,RPL35A,RPL29,RPS16,RPS24,HSP90AA1,RPL26,ACTG1,RPL8,RPS13,CXCL13,RPL18,RPSA,HLA-C,RPS7,RPL36,RPL15,RPL37A,RPS20,RPL31,RPL6,RPL7A,CD74,GZMB,RPL10A,RPS17,MT-ND2,DNAJB1,RPL14,RPS21,RPL7,RPL35,RPS9,GNLY
144.0,32.0,24.0,14.0,12.0,12.0,37.0,5.0,0.0,11.0,27.0,0.0,6.0,29.0,15.0,23.0,0.0,8.0,14.0,21.0,15.0,26.0,10.0,25.0,17.0,11.0,20.0,14.0,4.0,19.0,20.0,11.0,14.0,3.0,10.0,0.0,8.0,12.0,2.0,6.0,12.0,3.0,16.0,16.0,10.0,8.0,14.0,12.0,4.0,0.0,12.0,1.0,5.0,7.0,9.0,0.0,4.0,3.0,3.0,4.0,9.0,6.0,0.0,6.0,5.0,4.0,10.0,6.0,5.0,10.0,4.0,1.0,10.0,2.0,5.0,4.0,0.0,13.0,5.0,3.0,6.0,14.0,10.0,5.0,5.0,11.0,1.0,3.0,0.0,0.0,4.0,0.0,0.0,0.0,8.0,6.0,12.0,2.0,4.0,0.0
395.0,100.0,67.0,24.0,39.0,58.0,44.0,6.0,0.0,36.0,37.0,0.0,17.0,35.0,36.0,37.0,0.0,8.0,27.0,25.0,25.0,21.0,23.0,26.0,25.0,26.0,21.0,21.0,17.0,15.0,12.0,21.0,16.0,9.0,11.0,9.0,9.0,14.0,4.0,13.0,17.0,12.0,19.0,13.0,16.0,15.0,17.0,14.0,5.0,1.0,16.0,2.0,8.0,16.0,21.0,1.0,3.0,4.0,10.0,12.0,14.0,15.0,8.0,14.0,16.0,7.0,5.0,13.0,6.0,13.0,7.0,4.0,12.0,7.0,10.0,9.0,0.0,9.0,14.0,6.0,6.0,12.0,7.0,14.0,17.0,9.0,10.0,11.0,2.0,0.0,10.0,0.0,9.0,0.0,8.0,7.0,7.0,9.0,9.0,0.0
59.0,20.0,36.0,37.0,18.0,15.0,26.0,26.0,0.0,21.0,24.0,3.0,32.0,11.0,19.0,7.0,0.0,5.0,24.0,5.0,9.0,13.0,14.0,12.0,14.0,12.0,8.0,9.0,11.0,13.0,12.0,15.0,14.0,21.0,7.0,7.0,9.0,4.0,4.0,21.0,9.0,12.0,9.0,13.0,15.0,8.0,13.0,13.0,13.0,12.0,8.0,10.0,9.0,15.0,9.0,1.0,6.0,7.0,6.0,6.0,10.0,12.0,12.0,6.0,0.0,2.0,17.0,5.0,8.0,11.0,7.0,2.0,2.0,8.0,8.0,3.0,0.0,5.0,6.0,8.0,7.0,8.0,5.0,5.0,0.0,4.0,9.0,12.0,1.0,0.0,3.0,3.0,3.0,0.0,8.0,9.0,2.0,3.0,4.0,0.0
103.0,19.0,21.0,7.0,6.0,11.0,21.0,9.0,0.0,5.0,19.0,0.0,10.0,8.0,14.0,12.0,0.0,11.0,7.0,23.0,15.0,6.0,6.0,5.0,8.0,3.0,8.0,7.0,2.0,7.0,5.0,9.0,3.0,4.0,9.0,3.0,5.0,18.0,1.0,2.0,2.0,5.0,10.0,4.0,6.0,6.0,2.0,8.0,7.0,0.0,9.0,0.0,7.0,7.0,8.0,2.0,3.0,1.0,3.0,8.0,5.0,4.0,3.0,6.0,14.0,6.0,0.0,5.0,2.0,6.0,6.0,3.0,5.0,2.0,2.0,6.0,0.0,5.0,3.0,2.0,3.0,6.0,3.0,4.0,3.0,8.0,2.0,2.0,2.0,1.0,2.0,7.0,4.0,0.0,3.0,2.0,3.0,4.0,5.0,0.0
333.0,35.0,41.0,38.0,11.0,22.0,67.0,8.0,0.0,36.0,41.0,0.0,17.0,34.0,34.0,34.0,0.0,16.0,31.0,23.0,30.0,38.0,29.0,62.0,41.0,25.0,32.0,35.0,22.0,29.0,27.0,20.0,23.0,16.0,9.0,1.0,22.0,25.0,3.0,29.0,29.0,12.0,11.0,25.0,28.0,17.0,22.0,35.0,7.0,0.0,17.0,9.0,21.0,25.0,25.0,0.0,11.0,8.0,8.0,18.0,15.0,25.0,0.0,20.0,28.0,12.0,5.0,17.0,13.0,16.0,12.0,0.0,22.0,3.0,5.0,10.0,0.0,15.0,12.0,5.0,7.0,16.0,15.0,7.0,13.0,24.0,9.0,10.0,1.0,0.0,11.0,14.0,9.0,2.0,19.0,13.0,18.0,14.0,9.0,0.0
28.0,4.0,6.0,0.0,0.0,2.0,0.0,13.0,0.0,1.0,0.0,0.0,8.0,0.0,2.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,2.0,3.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,10.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,1.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,5.0,1.0,1.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
17.0,10.0,10.0,2.0,3.0,0.0,1.0,2.0,0.0,2.0,0.0,0.0,1.0,2.0,1.0,2.0,0.0,1.0,2.0,1.0,1.0,0.0,3.0,1.0,3.0,3.0,2.0,1.0,5.0,2.0,4.0,0.0,0.0,0.0,4.0,2.0,0.0,0.0,0.0,3.0,0.0,1.0,3.0,2.0,0.0,0.0,1.0,2.0,3.0,0.0,0.0,1.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,8.0,4.0,6.0,4.0,1.0,1.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,0.0,1.0,0.0,0.0,2.0,0.0
51.0,27.0,45.0,38.0,21.0,25.0,40.0,16.0,0.0,24.0,17.0,1.0,16.0,16.0,25.0,11.0,0.0,27.0,17.0,3.0,9.0,11.0,9.0,9.0,14.0,19.0,4.0,8.0,6.0,5.0,10.0,24.0,18.0,10.0,20.0,4.0,11.0,18.0,6.0,18.0,9.0,23.0,7.0,11.0,16.0,13.0,12.0,17.0,10.0,24.0,10.0,13.0,5.0,12.0,4.0,3.0,3.0,3.0,6.0,4.0,15.0,7.0,3.0,3.0,3.0,9.0,25.0,16.0,8.0,5.0,10.0,2.0,2.0,2.0,5.0,7.0,0.0,6.0,2.0,12.0,10.0,10.0,3.0,5.0,1.0,1.0,6.0,6.0,3.0,0.0,5.0,0.0,5.0,2.0,11.0,10.0,0.0,6.0,3.0,0.0
20.0,75.0,12.0,23.0,23.0,22.0,15.0,4.0,0.0,10.0,20.0,0.0,15.0,10.0,14.0,10.0,0.0,7.0,14.0,10.0,9.0,11.0,3.0,9.0,10.0,8.0,5.0,4.0,6.0,6.0,8.0,9.0,13.0,9.0,2.0,6.0,11.0,17.0,5.0,5.0,2.0,5.0,21.0,4.0,7.0,5.0,11.0,8.0,2.0,0.0,9.0,1.0,2.0,8.0,6.0,0.0,2.0,3.0,7.0,7.0,10.0,1.0,3.0,0.0,6.0,4.0,2.0,3.0,3.0,4.0,4.0,2.0,5.0,1.0,4.0,6.0,0.0,4.0,3.0,4.0,2.0,5.0,9.0,3.0,0.0,10.0,4.0,3.0,1.0,0.0,3.0,5.0,3.0,0.0,4.0,0.0,8.0,2.0,2.0,0.0
9.0,11.0,16.0,7.0,9.0,10.0,4.0,5.0,0.0,0.0,2.0,0.0,7.0,2.0,2.0,1.0,0.0,1.0,3.0,3.0,5.0,2.0,5.0,1.0,4.0,3.0,5.0,1.0,9.0,0.0,1.0,0.0,4.0,5.0,4.0,3.0,2.0,1.0,0.0,2.0,2.0,2.0,3.0,2.0,2.0,0.0,3.0,1.0,5.0,1.0,2.0,3.0,0.0,2.0,1.0,0.0,0.0,1.0,0.0,3.0,3.0,1.0,0.0,0.0,9.0,7.0,2.0,3.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,3.0,2.0,0.0,2.0,0.0,1.0,2.0,2.0,6.0,1.0,1.0,0.0,0.0,1.0,1.0,2.0,8.0,1.0,0.0,1.0,1.0,2.0,2.0
131.0,8.0,26.0,2.0,5.0,9.0,11.0,2.0,0.0,2.0,8.0,0.0,5.0,12.0,9.0,7.0,0.0,4.0,2.0,6.0,4.0,2.0,3.0,7.0,4.0,3.0,5.0,0.0,4.0,5.0,5.0,4.0,5.0,0.0,9.0,4.0,2.0,1.0,0.0,3.0,2.0,0.0,7.0,4.0,0.0,4.0,2.0,2.0,3.0,1.0,6.0,1.0,7.0,0.0,2.0,0.0,2.0,0.0,16.0,4.0,2.0,1.0,0.0,2.0,4.0,2.0,22.0,1.0,1.0,3.0,0.0,4.0,3.0,0.0,2.0,4.0,0.0,1.0,0.0,7.0,5.0,4.0,0.0,1.0,3.0,3.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,1.0,1.0,0.0
132.0,44.0,57.0,6.0,27.0,13.0,14.0,5.0,0.0,6.0,8.0,0.0,13.0,13.0,7.0,4.0,0.0,13.0,8.0,2.0,15.0,3.0,4.0,8.0,3.0,9.0,9.0,1.0,3.0,9.0,2.0,4.0,1.0,7.0,14.0,5.0,3.0,4.0,2.0,2.0,2.0,6.0,7.0,5.0,1.0,5.0,5.0,9.0,11.0,0.0,2.0,2.0,4.0,1.0,1.0,8.0,0.0,1.0,0.0,4.0,3.0,2.0,17.0,3.0,3.0,8.0,0.0,3.0,2.0,2.0,8.0,0.0,6.0,5.0,4.0,1.0,0.0,1.0,3.0,5.0,0.0,2.0,4.0,2.0,1.0,1.0,1.0,3.0,10.0,3.0,3.0,0.0,4.0,0.0,2.0,0.0,1.0,6.0,4.0,0.0
